id,gender,race,age,path,file,FullPath,Path,Mask,Age,Gender,Class,ClassMask,ClassGender,ClassAge
000001,female,Asian,45,000001_female_Asian_45,mask1,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,000001_female_Asian_45/mask1.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000001,female,Asian,45,000001_female_Asian_45,mask2,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,000001_female_Asian_45/mask2.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000001,female,Asian,45,000001_female_Asian_45,mask3,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,000001_female_Asian_45/mask3.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000001,female,Asian,45,000001_female_Asian_45,mask4,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,000001_female_Asian_45/mask4.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000001,female,Asian,45,000001_female_Asian_45,mask5,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,000001_female_Asian_45/mask5.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000001,female,Asian,45,000001_female_Asian_45,normal,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,000001_female_Asian_45/normal.jpg,Not Wear,>= 30 and < 60,Female,16,2.0,1.0,1.0
000001,female,Asian,45,000001_female_Asian_45,incorrect_mask,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,000001_female_Asian_45/incorrect_mask.jpg,Incorrect,>= 30 and < 60,Female,10,1.0,1.0,1.0
000002,female,Asian,52,000002_female_Asian_52,mask1,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,000002_female_Asian_52/mask1.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000002,female,Asian,52,000002_female_Asian_52,mask2,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,000002_female_Asian_52/mask2.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
000002,female,Asian,52,000002_female_Asian_52,mask3,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,000002_female_Asian_52/mask3.jpg,Wear,>= 30 and < 60,Female,4,0.0,1.0,1.0
